Info 0    [21:18:23.809] Starting TS Server
Info 36   [21:20:47.308] getCompletionData: Get current token: 0.035856000147759914
Info 37   [21:20:47.308] getCompletionData: Is inside comment: 0.009400999639183283
Info 38   [21:20:47.308] getCompletionData: Get previous token: 0.09912799997255206
Info 39   [21:20:47.308] getCompletionsAtPosition: isCompletionListBlocker: 0.036543999798595905
Info 40   [21:20:47.308] Returning an empty list because completion was requested in an invalid position.
Info 41   [21:20:47.331] getCompletionData: Get current token: 0.032249999698251486
Info 42   [21:20:47.331] getCompletionData: Is inside comment: 0.008717000018805265
Info 43   [21:20:47.332] getCompletionData: Get previous token: 0.2191490000113845
Info 44   [21:20:47.332] getCompletionsAtPosition: isCompletionListBlocker: 0.023339999839663506
Info 45   [21:20:47.332] Returning an empty list because completion was requested in an invalid position.
Info 46   [21:20:47.355] getCompletionData: Get current token: 0.029432000126689672
Info 47   [21:20:47.355] getCompletionData: Is inside comment: 0.008103999774903059
Info 48   [21:20:47.355] getCompletionData: Get previous token: 0.08803199976682663
Info 49   [21:20:47.356] getCompletionsAtPosition: isCompletionListBlocker: 0.019803999923169613
Info 50   [21:20:47.356] Returning an empty list because completion was requested in an invalid position.
Info 51   [21:20:47.609] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [21:20:47.619] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 10.167425000108778ms
Info 53   [21:20:47.620] Different program with same set of files
Info 54   [21:20:47.621] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 55   [21:20:47.635] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 13.431334000080824ms
Info 56   [21:20:47.635] Different program with same set of files
Info 57   [21:20:48.725] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [21:20:48.735] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 9.681493999902159ms
Info 59   [21:20:48.735] Different program with same set of files
Info 60   [21:20:48.736] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [21:20:48.747] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 10.659492999780923ms
Info 62   [21:20:48.747] Different program with same set of files
Info 63   [21:20:49.753] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [21:20:49.762] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 9.15822200011462ms
Info 65   [21:20:49.762] Different program with same set of files
Info 66   [21:20:50.012] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [21:20:50.022] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 9.786309000104666ms
Info 68   [21:20:50.022] Different program with same set of files
Info 69   [21:20:50.405] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [21:20:50.412] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 7.14427400007844ms
Info 71   [21:20:50.412] Different program with same set of files
Info 72   [21:20:50.414] getCompletionData: Get current token: 0.060624999925494194
Info 73   [21:20:50.414] getCompletionData: Is inside comment: 0.01624999986961484
Info 74   [21:20:50.414] getCompletionData: Get previous token: 0.15089999977499247
Info 75   [21:20:50.414] getCompletionsAtPosition: isCompletionListBlocker: 0.032476999796926975
Info 76   [21:20:50.414] Returning an empty list because completion was requested in an invalid position.
Info 77   [21:20:50.668] getCompletionData: Get current token: 0.05525299999862909
Info 78   [21:20:50.668] getCompletionData: Is inside comment: 0.01056799991056323
Info 79   [21:20:50.668] getCompletionData: Get previous token: 0.11470200028270483
Info 80   [21:20:50.668] getCompletionsAtPosition: isCompletionListBlocker: 0.04546900000423193
Info 81   [21:20:50.668] Returning an empty list because completion was requested in an invalid position.
Info 82   [21:20:50.669] getCompletionData: Get current token: 0.055742000229656696
Info 83   [21:20:50.669] getCompletionData: Is inside comment: 0.01141900010406971
Info 84   [21:20:50.670] getCompletionData: Get previous token: 0.16496500000357628
Info 85   [21:20:50.670] getCompletionsAtPosition: isCompletionListBlocker: 0.0637089996598661
Info 86   [21:20:50.670] Returning an empty list because completion was requested in an invalid position.
Info 87   [21:20:50.670] getCompletionData: Get current token: 0.030412000138312578
Info 88   [21:20:50.670] getCompletionData: Is inside comment: 0.006556000094860792
Info 89   [21:20:50.670] getCompletionData: Get previous token: 0.07560099987313151
Info 90   [21:20:50.671] getCompletionsAtPosition: isCompletionListBlocker: 0.030275000259280205
Info 91   [21:20:50.671] Returning an empty list because completion was requested in an invalid position.
Info 92   [21:20:50.978] Format host information updated
Info 93   [21:20:59.122] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 94   [21:20:59.135] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 12.523956999648362ms
Info 95   [21:20:59.135] Different program with same set of files
Info 96   [21:20:59.404] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 97   [21:20:59.415] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 11.102233000099659ms
Info 98   [21:20:59.415] Different program with same set of files
Info 99   [21:21:02.793] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 100  [21:21:02.806] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 13.10856799967587ms
Info 101  [21:21:02.806] Different program with same set of files
Info 102  [21:21:03.256] Format host information updated
Info 103  [21:21:05.194] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 104  [21:21:05.205] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 11.031266000121832ms
Info 105  [21:21:05.205] Different program with same set of files
Info 106  [21:21:05.479] Format host information updated
Info 107  [21:58:19.987] Search path: /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/pages
Info 108  [21:58:19.988] For info: /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/pages/_app.js :: No config files found.
Info 109  [21:58:19.995] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 110  [21:58:20.032] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 36.52720900066197ms
Info 111  [21:58:20.032] Project '/dev/null/inferredProject2*' (Inferred)
Info 112  [21:58:20.032] 	Files (20)

Info 113  [21:58:20.032] -----------------------------------------------
Info 114  [21:58:20.046] AutoImportProviderProject: found 2 root files in 2 dependencies in 11.778626000508666 ms
Info 115  [21:58:20.047] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject2*
Info 116  [21:58:20.062] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject2* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 14.409412999637425ms
Info 117  [21:58:20.062] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 118  [21:58:20.062] 	Files (6)

Info 119  [21:58:20.062] -----------------------------------------------
Info 120  [22:03:26.907] FileWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/package.json 2:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/package.json 250 undefined WatchType: package.json file
Info 121  [22:03:26.908] Elapsed:: 0.3569700000807643ms FileWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/package.json 2:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/package.json 250 undefined WatchType: package.json file
Info 122  [22:03:33.189] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 123  [22:03:33.189] Elapsed:: 0.38657999970018864ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 124  [22:03:33.189] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 125  [22:03:33.190] Elapsed:: 0.5839790003374219ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 126  [22:03:33.441] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 127  [22:03:33.493] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: true structureIsReused:: SafeModules Elapsed: 52.49232400022447ms
Info 128  [22:03:33.494] Different program with same set of files
Info 129  [22:03:35.940] Before ensureProjectForOpenFiles:
Info 130  [22:03:35.941] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 131  [22:03:35.942] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 1.815260000526905ms
Info 132  [22:03:35.943] Project '/dev/null/inferredProject2*' (Inferred)
Info 133  [22:03:35.943] 	Files (0)

Info 134  [22:03:35.943] -----------------------------------------------
Info 135  [22:03:35.943] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 136  [22:03:35.943] 	Files (6)

Info 137  [22:03:35.943] -----------------------------------------------
Info 138  [22:03:35.943] After ensureProjectForOpenFiles:
Info 139  [22:03:35.943] got projects updated in background, updating diagnostics for /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/pages/index.js
Info 140  [22:03:37.457] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-win32-x64-msvc :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 141  [22:03:37.457] Elapsed:: 0.045962000265717506ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-win32-x64-msvc :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 142  [22:03:37.458] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-win32-ia32-msvc :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 143  [22:03:37.458] Elapsed:: 0.0361310001462698ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-win32-ia32-msvc :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 144  [22:03:37.458] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-win32-arm64-msvc :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 145  [22:03:37.458] Elapsed:: 0.020483999513089657ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-win32-arm64-msvc :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 146  [22:03:37.459] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-linux-arm-gnueabihf :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 147  [22:03:37.459] Elapsed:: 0.02417400013655424ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-linux-arm-gnueabihf :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 148  [22:03:37.459] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-freebsd-x64 :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 149  [22:03:37.459] Elapsed:: 0.020608999766409397ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-freebsd-x64 :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 150  [22:03:37.459] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-darwin-x64 :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 151  [22:03:37.459] Elapsed:: 0.029222000390291214ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-darwin-x64 :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 152  [22:03:37.459] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-darwin-arm64 :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 153  [22:03:37.459] Elapsed:: 0.017721999436616898ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-darwin-arm64 :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 154  [22:03:37.460] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-android-arm64 :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 155  [22:03:37.460] Elapsed:: 0.024116000160574913ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-android-arm64 :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 156  [22:03:37.460] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-android-arm-eabi :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 157  [22:03:37.460] Elapsed:: 0.01974899973720312ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-android-arm-eabi :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 158  [22:03:37.460] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-linux-arm64-musl :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 159  [22:03:37.460] Elapsed:: 0.01902100071310997ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-linux-arm64-musl :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 160  [22:03:37.461] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-linux-arm64-gnu :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 161  [22:03:37.461] Elapsed:: 0.02339900005608797ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@next/swc-linux-arm64-gnu :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 162  [22:03:38.591] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 163  [22:03:38.591] Elapsed:: 0.04358499962836504ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules :: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 164  [22:03:38.591] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/README.md 0:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 165  [22:03:38.591] Elapsed:: 0.10528499912470579ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/README.md 0:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 166  [22:03:38.591] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/index.d.ts 1:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 167  [22:03:38.591] Elapsed:: 0.40541099943220615ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/index.d.ts 1:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 168  [22:03:38.591] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/package.json 2:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 169  [22:03:38.592] Elapsed:: 0.11039100028574467ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/package.json 2:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 170  [22:03:38.592] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/types-metadata.json 3:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 171  [22:03:38.592] Elapsed:: 0.10908500012010336ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/types-metadata.json 3:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 172  [22:03:38.592] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/README.md 0:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject2* WatchType: Type roots
Info 173  [22:03:38.592] Elapsed:: 0.04751499928534031ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/README.md 0:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject2* WatchType: Type roots
Info 174  [22:03:38.592] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/index.d.ts 1:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject2* WatchType: Type roots
Info 175  [22:03:38.592] Elapsed:: 0.04182199947535992ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/index.d.ts 1:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject2* WatchType: Type roots
Info 176  [22:03:38.592] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/package.json 2:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject2* WatchType: Type roots
Info 177  [22:03:38.592] Elapsed:: 0.04783899988979101ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/package.json 2:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject2* WatchType: Type roots
Info 178  [22:03:38.592] DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/types-metadata.json 3:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject2* WatchType: Type roots
Info 179  [22:03:38.592] Elapsed:: 0.17283999919891357ms DirectoryWatcher:: Triggered with /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types/json5/types-metadata.json 3:: WatchInfo: /home/siyer/docs/projects/ongoing/martinalexandra.com/node_modules/@types 1 undefined Project: /dev/null/inferredProject2* WatchType: Type roots
Info 180  [22:03:38.842] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 181  [22:03:38.887] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: true structureIsReused:: SafeModules Elapsed: 44.65742100030184ms
Info 182  [22:03:38.887] Different program with same set of files
Info 183  [22:03:38.890] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 184  [22:03:38.891] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: true structureIsReused:: SafeModules Elapsed: 0.562219999730587ms
Info 185  [22:03:38.891] Different program with same set of files
Info 186  [22:03:41.343] Before ensureProjectForOpenFiles:
Info 187  [22:03:41.344] After ensureProjectForOpenFiles:
Info 188  [22:03:41.344] got projects updated in background, updating diagnostics for /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/pages/index.js
Info 189  [22:05:36.136] Search path: /home/siyer/docs/projects/ongoing/martinalexandra.com
Info 190  [22:05:36.136] For info: /home/siyer/docs/projects/ongoing/martinalexandra.com/next.config.js :: No config files found.
Info 191  [22:05:36.137] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 192  [22:05:36.487] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 349.9533010004088ms
Info 193  [22:05:36.487] Project '/dev/null/inferredProject3*' (Inferred)
